playlist,id,track,artist,album,release_date,release_year,length_ms,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
The Sound of Contemporary Country,0b9djfiuDIMw1zKH6gV74g,Somebody Like You,['Keith Urban'],Golden Road,2002-01-01,2002,323040,False,72,0.624,0.84,4,-5.768,1,0.0337,0.108,0.000546,0.144,0.656,111.02
The Sound of Contemporary Country,5EYWGM3Ns3iYew8ws0FatB,This Kiss,['Faith Hill'],Faith,1998-04-10,1998,194306,False,71,0.398,0.804,11,-5.559,1,0.0451,0.175,0.0,0.181,0.709,186.752
The Sound of Contemporary Country,4f3fb3alVLFc8Ga4ncpg7x,Kiss Somebody,['Morgan Evans'],Things That We Drink To,2018-10-12,2018,213183,False,61,0.57,0.684,6,-7.054,1,0.0465,0.136,0.0,0.205,0.531,89.012
The Sound of Contemporary Country,1pmBuw9a3r467tlzVZj0P4,Bigger Mistakes,['Mitchell Tenpenny'],Bigger Mistakes,2023-07-28,2023,179228,False,73,0.604,0.881,11,-4.036,1,0.0544,0.0272,0.0,0.263,0.74,104.942
The Sound of Contemporary Country,0JbSghVDghtFEurrSO8JrC,Country Girl (Shake It For Me),['Luke Bryan'],Tailgates & Tanlines,2011-01-01,2011,225560,False,79,0.645,0.904,2,-4.532,1,0.0462,0.0293,0.0,0.0834,0.671,105.97
The Sound of Contemporary Country,5J3jB1IKglDvEu0WRsOcq5,Outskirts of Heaven,['Craig Campbell'],See You Try,2016-01-01,2016,244266,False,58,0.497,0.434,0,-5.73,1,0.0296,0.333,3.11e-06,0.108,0.266,115.749
The Sound of Contemporary Country,2ulBBx6YQ3qY3ci34RadtN,She's In Love With The Boy - Single Version,['Trisha Yearwood'],Trisha Yearwood,1991-01-01,1991,248200,False,71,0.783,0.698,3,-8.268,1,0.0323,0.522,2.52e-06,0.0754,0.758,124.996
The Sound of Contemporary Country,3DeLvrawPtl8wSupXgTlSh,Unlove You,['Jennifer Nettles'],Playing With Fire,2016-05-13,2016,234440,False,46,0.388,0.416,0,-7.344,1,0.0325,0.49,1.86e-05,0.0695,0.111,137.66
The Sound of Contemporary Country,1Lo0QY9cvc8sUB2vnIOxDT,Fast Car,['Luke Combs'],Gettin' Old,2023-03-24,2023,265493,False,89,0.712,0.603,8,-5.52,1,0.0262,0.186,0.0,0.115,0.67,97.994
The Sound of Contemporary Country,3eDNb3ZG3gKgjAAgJBcOL8,Best Shot,['Jimmie Allen'],Mercury Lane,2018-10-05,2018,195053,False,64,0.629,0.464,4,-8.72,1,0.0334,0.75,0.0,0.0853,0.523,156.051
The Sound of Contemporary Country,7uPReljrrTaqzDCcx4JHmi,What Kinda Gone,['Chris Cagle'],My Life's Been A Country Song,2008-01-01,2008,181613,False,62,0.494,0.861,5,-5.236,1,0.0365,0.257,0.0,0.103,0.668,172.052
The Sound of Contemporary Country,3hfMKCMfKcKctpjtH0TB76,Right Where I Need To Be,['Gary Allan'],Smoke Rings In The Dark (Deluxe Edition),1999-10-19,1999,182103,False,67,0.522,0.747,1,-4.789,1,0.0297,0.235,1.06e-05,0.0964,0.645,82.85
The Sound of Contemporary Country,3EUl8M6SzxZl03NPkB8mUd,Neon Moon,['Brooks & Dunn'],#1s ... and then some,2009-09-08,2009,263760,False,74,0.698,0.632,9,-6.508,1,0.0247,0.554,0.0,0.118,0.458,102.408
The Sound of Contemporary Country,0NLBwQBYJhEM9t3KAMPFVR,Sold (The Grundy County Auction Incident),['John Michael Montgomery'],John Michael Montgomery,1995-03-17,1995,152186,False,72,0.771,0.848,2,-7.365,1,0.035,0.108,0.0,0.35,0.803,115.642
The Sound of Contemporary Country,0Rj68IX1WqAtceUZQGk7aa,(Kissed You) Good Night,['Gloriana'],A Thousand Miles Left Behind,2012-07-27,2012,232903,False,52,0.523,0.747,11,-6.125,1,0.0292,0.0807,0.0,0.11,0.294,118.97
The Sound of Contemporary Country,3MkXV52jXtsG4pvKp4cGE8,Chasing After You,"['Ryan Hurd', 'Maren Morris']",Pelago,2021-10-15,2021,207666,False,66,0.601,0.675,4,-6.358,1,0.0399,0.698,0.0,0.125,0.446,131.933
The Sound of Contemporary Country,1dgWTMoHwTUnQhOQ8SR5fV,American Kids,['Kenny Chesney'],The Big Revival,2014-09-22,2014,182960,False,76,0.782,0.589,0,-7.37,1,0.0803,0.0476,5.84e-06,0.0366,0.849,85.022
The Sound of Contemporary Country,23T0OX7QOiIUFShSzbJ5Uo,I Hope,['Gabby Barrett'],Goldmine,2020-06-19,2020,210772,False,75,0.466,0.536,6,-6.227,1,0.0429,0.0951,0.0,0.114,0.377,75.998
The Sound of Contemporary Country,4TJUS843fKiqqIzycM74Oy,Should've Been A Cowboy,['Toby Keith'],Toby Keith,1993-04-20,1993,211306,False,79,0.618,0.672,7,-7.92,1,0.0353,0.441,1.49e-06,0.214,0.705,133.439
The Sound of Contemporary Country,0158TMiGmHyibaDeaUKayX,She Won't Be Lonely Long,['Clay Walker'],She Won't Be Lonely Long,2010-06-08,2010,209253,False,68,0.635,0.758,7,-5.772,1,0.0243,0.00643,0.0,0.229,0.322,113.002
The Sound of Contemporary Country,2bVFvGBU2ihWJgMRPcav5r,Fall Into Me,['Emerson Drive'],Emerson Drive,2002-01-01,2002,168866,False,44,0.501,0.813,2,-5.01,1,0.0342,0.238,0.0,0.39,0.595,96.986
The Sound of Contemporary Country,6UreecgqiwH1aQTXfRiMqg,Love Hurts,"['Ashley Monroe', 'Tyler Cain', 'Ruston Kelly']",The Covers,2021-09-08,2021,196537,False,49,0.393,0.215,7,-7.563,1,0.0275,0.905,0.0,0.0907,0.197,134.233
The Sound of Contemporary Country,7bSx9PJnGPWb8PEkcdWB7z,Right On Time,['Lindsay Ell'],Right On Time,2022-04-27,2022,186094,False,47,0.632,0.808,5,-4.759,1,0.0397,0.0293,2.01e-05,0.0833,0.597,93.982
The Sound of Contemporary Country,55BOHRBoPZAyJGCpKR5R16,Backroad Song,['Granger Smith'],Remington,2016-03-04,2016,236786,False,59,0.488,0.833,11,-6.571,1,0.0437,0.0352,0.0168,0.34,0.751,174.008
